message,label
但我今天要下台中出差～明天勒,正常-normal
超好笑洗澡洗真久,正常-normal
我剛剛吃了兩顆蛋蛋 又配兩顆芋頭酥,正常-normal
就是想包養試試看笑死,色情-sex word
吃香蕉爬很高,正常-normal
我看起來是想色色嗎==,色情-sex word
你已經有乾兒子了應該也不缺乾爹乾媽吧�,正常-normal
按摩師,正常-normal
我以我餘生的性福擔保,色情-sex word
他一直說要幫我吹 還說要包養我一個月十萬,色情-sex word
不一夜情還是有需求的吧,色情-sex word
你有認識誰有喜歡按摩的嗎,正常-normal
還是你都跑去按摩,正常-normal
一個月八萬塊包養妳,色情-sex word
所以我說你體驗按摩就好不要升級,正常-normal
晚上你要見面嗎哈哈哈,正常-normal
原來房事的耐用耐操是生完小孩後才能認證,色情-sex word
我是說房事是兩人願意,色情-sex word
然後妳就潮吹了,色情-sex word
來去洗澡了,正常-normal
他的肉球怎麼髒髒的,正常-normal
我會把妳小豆豆包皮打開,色情-sex word
他們都抱怨沒房事嗎,色情-sex word
開玩笑~ 看得出我也很愛講幹話嗎��,正常-normal
這樣就沒人陪我幹話了,正常-normal
你蠻適合去按摩的,正常-normal
噁心？ 不想被主人大肉棒調教了是不是,色情-sex word
我是來約的,色情-sex word
有些人不運動都直接去給人家按摩,正常-normal
有在運動或給人家按摩之類的吧,正常-normal
運動按摩有做過嗎,正常-normal
所以你在找砲友、,色情-sex word
我還又在幫別人按摩，我覺得解決別人的酸痛蠻有成就感,正常-normal
床伴也不排斥囉,色情-sex word
沒有在醫院愛愛過耶,色情-sex word
喔喔只有胸部沒有肉肉那種,色情-sex word
我有一點色情，你會怕吧,色情-sex word
還是你是動不動就 幹你娘�,正常-normal
只想愛愛 沒其他�,色情-sex word
你有去學筋膜刀或運動按摩嗎,正常-normal
我講講幹話 好奇你反應,正常-normal
有按摩嗎,正常-normal
不是我太逼你就好XD,正常-normal
剛跑去洗澡了,正常-normal
肯定會叫上你ㄉ,正常-normal
我在看bl動漫��,正常-normal
��沒有其他怪怪色色的男人出現,正常-normal
你說從背後插你嗎,色情-sex word
至少7年沒有好好做愛了�,色情-sex word
先幫我加油打氣不要睡過頭,正常-normal
只遇過要約炮,色情-sex word
我覺得我沒有很雞掰但也是逐年減少朋友,正常-normal
哈哈哈 那我猜你家的貓不會睡你身上？,正常-normal
家人逼迫？,正常-normal
也沒有不洗澡,正常-normal
我都會先洗澡呀,正常-normal
早上妳要載去上學,正常-normal
哈哈那快點去洗澡,正常-normal
因為我可愛也可壞,正常-normal
多半是想約砲,色情-sex word
洗澡的事情就麻煩你了,正常-normal
你感覺也不會喜歡色色的吧,正常-normal
先去洗澡~,正常-normal
哦哦哦原來是我包養妳喔,色情-sex word
我坦蛋蛋,正常-normal
而且還要被包養才行,色情-sex word
我就不應該這樣逼你啊,正常-normal
愛上妳算我賤,正常-normal
沒蛋蛋？,色情-sex word
有美女陪聊天,正常-normal
洗澡什麼的都要跟,正常-normal
半夜要餵奶什麼的,正常-normal
還會得性病,色情-sex word
我平常都會去給別人按摩,正常-normal
我公司幾乎都已婚女性,正常-normal
你是，想約砲是嗎？,色情-sex word
哇很深刻的肉球印,正常-normal
如果你約我做愛����,色情-sex word
不會相互按摩嗎,正常-normal
有 我早上回去洗澡的時候 有小睡半小時,正常-normal
我喜歡會幹話的,正常-normal
我沒辦法純約砲ㄝ,色情-sex word
肉體上約妳幹飯可以嗎,色情-sex word
哈哈哈還沒洗澡,正常-normal
好口愛,正常-normal
我會不會被操爆,色情-sex word
睡一覺 起來洗澡了 �,正常-normal
如果你想白嫖便當 下次可以跟我去���,正常-normal
等等回去一起洗澡呀��,正常-normal
看來是真的愛按摩 全身的嗎 母女倆一起去也太爽 該不會爸爸在外面等？,正常-normal
我臉破兩個洞流血 洗澡的時候有夠痛,正常-normal
我沒逼自己也常常爬不起來,正常-normal
"哈哈哈哈
逼自己克制？",正常-normal
正常人如果外出回家應該都要洗澡吧….我是回家一定要先換衣服，可以的話會洗澡，除非像今天太累,正常-normal
這是口交啊,色情-sex word
因為你是約砲女,色情-sex word
既然這樣� 想要一定要告訴我噢 我會先好好幫你全身按摩，讓你體驗從來沒有過的享受,色情-sex word
我剛門外,正常-normal
那幫你按摩一下,色情-sex word
好害羞 裸照�,色情-sex word
鴨子洗澡很可愛,正常-normal
你摸了我也不能怎樣，按摩時好像會到那邊極限,色情-sex word
沒有啦幹話�,正常-normal
還是你都去按摩,正常-normal
虧我還是個按摩師,正常-normal
但幹話我也聽聽而已,正常-normal
認識一個按摩師會對你有幫助的,正常-normal
社交牛逼,正常-normal
我的龜頭,色情-sex word
還沒洗澡前,正常-normal
是想找固定的床伴～,色情-sex word
運動跟幫別人按摩,正常-normal
演藝圈很淫亂,色情-sex word
山上打砲啊,色情-sex word
你有在按摩？,正常-normal
妮明天要打炮了喔,色情-sex word
我還有遇過處男欸,色情-sex word
準備去洗澡囉～,正常-normal
炸屁眼？？？？,色情-sex word
沒人約打炮阿,色情-sex word
你說的有些 基本上都不是真正的想聊天交朋友 是想約砲的,色情-sex word
我玩就是在講幹話的,正常-normal
有在運動或是給別人按摩嗎？,正常-normal
好好笑我也可以呀跟你幹話ㄉㄜㄛ,正常-normal
"手的話就是要摳對點
棒棒的話就是在外面蹭 蹭到一個程度後然後快速抽插",色情-sex word
我剛剛本來要洗澡的結果論文教授突然傳回來要我改，我忙到現在才洗澡�,正常-normal
好口愛的吐己耶,正常-normal
哈處男,色情-sex word
搞不好他們會看上妳的攝影能力找妳去當麻豆喔,正常-normal
這是約砲起手式嗎,色情-sex word
勃起幹嘛�也太痛苦,色情-sex word
可能他們約都戴套吧,色情-sex word
說說幹話,正常-normal
"不用怕啦� 
等等要去洗澡",正常-normal
要先洗澡嗎,正常-normal
怎麼從幹話,正常-normal
這樣說好色喔,色情-sex word
你以前女友洗澡不麻煩嗎？,正常-normal
我覺得你在講幹話,正常-normal
不是按摩能解決的,正常-normal
你會逼你哥一起看嗎�,正常-normal
幹你都很晚睡,正常-normal
有些約砲,色情-sex word
給你睡過去,正常-normal
你平常有在運動或是個別人按摩嗎？,正常-normal
包養女大生吧,色情-sex word
我先去洗澡啦，剛到家,正常-normal
我要回家洗澡 出門跑車了,正常-normal
準備洗澡,正常-normal
也是有床伴 但是會想找男友,色情-sex word
你會約砲嗎,色情-sex word
洗頭 按摩 染髮 剪髮還不會,正常-normal
你還有色色的嗎,色情-sex word
我龜頭滿滿的愛液,色情-sex word
喔啊你戴套嗎,色情-sex word
（我很會逼瘋人家哦 謝謝,正常-normal
"好色喔,�",色情-sex word
在洗澡,正常-normal
我也看完了� 因為吳慷仁真的演的很像我現在公司的同事 一直講一直講講不停 我那時候看片段的時候剛好是跟嘉義那個同事一起看的 我就說天哪 好吵 好像某某同事 可以不要看了嗎,正常-normal
"等等有大下課20分鐘
小孩跳健康操我再吃早餐哈哈",正常-normal
我只會做臉不會做愛,正常-normal
又要說我把你逼瘋嗎,正常-normal
再度把你逼瘋,正常-normal
一個很雞掰的朋友弄的,正常-normal
我也沒有一定要找砲友啦！,色情-sex word
好喇辛苦了啦 幫你按摩,色情-sex word
手沖還是義式濃縮,正常-normal
我要洗澡了,正常-normal
今天我上班直接睡過頭,正常-normal
這個真的很多男生約砲喔 我以為大家都跟我一樣,色情-sex word
剛剛洗澡感覺頭髮斷了10根應該有,正常-normal
那妳先洗澡啊,正常-normal
不過我記得藥袋上有標註副作用是勃起,色情-sex word
當我學會按摩後直接輾壓,正常-normal
是監督還是陪聊？,正常-normal
人帥真好 人醜性騷擾,正常-normal
剛剛回到家要來洗澡了,正常-normal
逼小孩別跟我走，叫小孩騙我,正常-normal
我在按摩,正常-normal
這邊很多人約砲嗎�,色情-sex word
嗨嗨妹子好呀,正常-normal
狗狗也是睡你房間嗎,正常-normal
現在請過來幫我洗澡,色情-sex word
你說打砲嗎,色情-sex word
700多的有按摩浴缸,正常-normal
後面就是要逼課金啊,正常-normal
沒洗澡噴我覺得怪怪的,正常-normal
哇嗚 ～趕快去洗澡哈哈哈,正常-normal
然後吃飯洗澡嗎,正常-normal
脖子耳朵胸部,色情-sex word
可以約你做愛嗎,色情-sex word
我曾經都想過 抽大腿的脂肪去補胸部,正常-normal
遲到了 素顏沒洗澡？,正常-normal
可能我是想找固定的床伴吧�,色情-sex word
想找一個固定的床伴～,色情-sex word
哎唷 如果被我撩起乃會被我吃掉欸�,色情-sex word
會想找床伴嗎,色情-sex word
回家洗澡直接躺著了,正常-normal
對啊⋯ 我想到我也直接不行耶～ 一下山立馬洗澡 �� 沒有溪水之類的嗎？ �,正常-normal
還是 是因為 為了另一半 逼不得已去改,正常-normal
我去洗澡了,正常-normal
我下禮拜會去台中出差,正常-normal
不能做愛？,色情-sex word
我去洗澡一下,正常-normal
一哭二鬧ㄉ三上悠亞�,色情-sex word
就不是很專業的按摩,正常-normal
剛剛要去洗澡,正常-normal
男朋友竟然不主動幫女友按摩唉呀～怎麼這樣,正常-normal
我是來約的 直接一點,色情-sex word
沒啊，我不想聊到最後才知道原來他在找砲友，覺得在浪費我的時間,正常-normal
你可以幹話吧？,正常-normal
講幹話�,正常-normal
你可以考慮用潤滑液慢慢用,色情-sex word
那我先去洗澡等等再去買東西來吃啦,正常-normal
比自己自嗨更重要,正常-normal
沒錯 現在的我就是個窮逼�,正常-normal
洗澡水放下去就贏了,正常-normal
但我會對妳很好色 妳會介意嗎,色情-sex word
我剛只有洗澡而已,正常-normal
可能想打炮吧,色情-sex word
妳會想要一夜情嗎？,色情-sex word
有胖到胸部嗎,色情-sex word
還要洗澡ㄟ,正常-normal
好色哈哈,色情-sex word
性騷擾 ？,色情-sex word
雖然我在朋友之間都很大喇喇 愛聊色,色情-sex word
變成短暫的肉體關係,色情-sex word
等等傳給你看片段,正常-normal
你要幫我洗澡嗎,正常-normal
我沒有在約砲,正常-normal
很雞掰好好笑,正常-normal
就是純粹會講幹話然後講心事出去吃飯這樣,正常-normal
健身房洗澡去,正常-normal
精液啦哈哈,色情-sex word
我之前還有去喬骨 固定去按摩放鬆,正常-normal
平常晚上妳都會做什麼呢？,正常-normal
你洗澡了嗎,正常-normal
原諒我問幹話��,正常-normal
想在公司洗手間幹你,色情-sex word
運動跟按摩,正常-normal
你有在按摩嗎,正常-normal
那你有在按摩嗎,正常-normal
我正要去洗澡,正常-normal
已婚嗎,正常-normal
讓女孩子感覺自己是被呵護被疼愛的那種做愛,色情-sex word
放了40年的油性色鉛,色情-sex word
"妳將監護權交給對方後
孩子基本上妳已經沒有任何權利干涉了
所以我會建議多為自己想想
不支付贍養費
或是訂一個金額支付即可
（例如每月5000，其他都由男方負擔，至孩子成年）
建議不要用沒有數字的方式來擬定協議，那對妳的未來會有困擾
（如同妳現在收到的起訴書）",正常-normal
我想說為什麼洗澡會暗暗,正常-normal
還是你關燈洗澡,正常-normal
你該不會只想約砲吧,色情-sex word
抽插的時候頭會很敏感,色情-sex word
那你應該也看過形形色色的人,正常-normal
去洗澡睡覺了 晚安宜玲,正常-normal
吸奶,色情-sex word
咪咪冒冒,正常-normal
按摩哪個部位嗎,正常-normal
現在好想多看妳胸部誘惑�,色情-sex word
不太能接受聊色,正常-normal
我超怕按摩,正常-normal
可以直接去洗澡啊,正常-normal
我都給你看漏點照了,色情-sex word
過12點還沒洗澡,正常-normal
有啊，還捨不得洗澡,正常-normal
我都把別人當很熟的朋友在講幹話,正常-normal
有遇過喜歡舔腳的,色情-sex word
屁眼派對！,色情-sex word
我給你五萬 你跟我打砲就結束了 不會對你怎樣,色情-sex word
正常按摩不需要這種照片,正常-normal
我覺得對方是享受這件事情的 對我來說性事就算合了,色情-sex word
我能看一下你的胸部嗎,色情-sex word
我是不分偏0 但我其實還是處男� 沒做過不太清楚 但不排斥當1,色情-sex word
我先去洗澡 哈哈哈 洗完就差不多了,正常-normal
我妳說有臉部按摩的餒,正常-normal
你是社交牛逼嗎,正常-normal
吃太飽會太性福嗎�,色情-sex word
我有朋友是當補充兵欸 他說洗澡艮收手機 還是唱軍歌的時候很爽,正常-normal
性事不合很痛苦啊哈哈哈哈哈,色情-sex word
是柴柴！！好口愛��,正常-normal
但我今天去給人家按摩,正常-normal
我只是覺得你這個年紀加上你又帥帥的,正常-normal
只是我想聊色的時候還真的都沒人可以聊 �,色情-sex word
沒 我在講幹話,正常-normal
小孩你要幫她洗澡嗎,正常-normal
那趕快洗澡休息,正常-normal
貝蒂洗澡了嗎,正常-normal
真的牛逼 我會幫你投票,正常-normal
我要先去洗澡,正常-normal
我感覺乳頭有時候喜歡有點痛感�,色情-sex word
我不跟不是另一半的人色色哈哈,色情-sex word
但是貓咪沒在洗澡,正常-normal
開會那天就是這樣。一直問我要不要承認性騷擾,色情-sex word
還是你注重肉體,色情-sex word
哈哈哈，我喜歡拉下來時，胸部瞬間彈出來的感覺,色情-sex word
內射完後也會再吸嗎,色情-sex word
乳暈大,色情-sex word
就正常上班，但每天下班一回家就立刻喝一杯酒把自己灌醉，然後讓自己昏睡，半夜再起來洗澡，隔天再正常上班,正常-normal
我是說月經來的時候愛愛啦�,色情-sex word
我也要來去洗澡了,正常-normal
快點去洗澡,正常-normal
我就跟他講為什麼要套塑膠袋，然後就生氣，我跟他就吵起來了，然後老師在我的病人的隔壁床，就在看我在幹嘛，然後他就很歡，但還是得說服他，幫他穿鞋、洗澡，還嗆我說最好包了塑膠袋水還不會跑進去，我朋友有幫忙我一起洗，她一直在旁邊笑說很像2個小朋友在吵架,正常-normal
男生都是可以做愛就好了,色情-sex word
那你趕快洗澡睡覺咧 休息睡飽才有精神,正常-normal
那你會想強姦我嗎�,色情-sex word
我先去洗澡哦 如果還沒睡的話等一下再說,正常-normal
你運動完回按摩嗎？,正常-normal
國外有那種裸體海灘，我覺得很棒欸�,色情-sex word
你有男朋友還是已婚？,正常-normal
過夜會變成整晚都在做愛嗎�,色情-sex word
"旁邊還是垃圾桶
辦的跟流浪狗一樣可憐",正常-normal
內射,色情-sex word
內射也不錯啦�,色情-sex word
我記得可以吃香蕉,正常-normal
我不喜歡按摩～我怕癢,正常-normal
為什麼你想跟我發生性關係,色情-sex word
結果真的自摸 好北爛��,正常-normal
你現在敢在陽台做愛嗎,色情-sex word
淫叫,色情-sex word
有時候逼逼叫都還有空間,色情-sex word
戴套都會生小孩了,色情-sex word
看起來是被操得很累呢,色情-sex word
也還沒洗澡�,正常-normal
你喜歡做愛嗎,色情-sex word
還是你要洗澡,正常-normal
你趕快去找乾媽包養你,色情-sex word
幹話另當別論,正常-normal
小母狗，在幹嘛呀,色情-sex word
我先去洗澡哦！,正常-normal
加了再跟我說下 我要去洗澡了,正常-normal
我覺得我器官已經在衰竭了,正常-normal
我在洗澡誒,正常-normal
好吧 那就不要逼你�,正常-normal
我還沒洗澡勒�,正常-normal
要去洗澡了哈哈哈哈,正常-normal
下班還可以幫你按摩,色情-sex word
這裡面是色色的人類嗎�,色情-sex word
有戴套ㄇ,色情-sex word
說難聽一點可能只是想要我的青春的肉體��,色情-sex word
對啊我先去洗澡好了,正常-normal
妹子好呀,正常-normal
尿道炎,正常-normal
又長又粗又多次,色情-sex word
裸露那也是小丁的錯�,色情-sex word
感覺胸部很白,色情-sex word
你是要約砲的嗎？,色情-sex word
按摩不簡單,正常-normal
有戴套啦,色情-sex word
我來台中出差,正常-normal
但打著這個招牌就會有很多人來做愛心捐錢之類的哈哈哈哈,正常-normal
戴套比較衛生啊,色情-sex word
我不喜歡男生跟我聊黃色的,正常-normal
看來只要是貓都很雞掰 無誤,正常-normal
你喜歡按摩嗎,正常-normal
你是那種要按摩的嗎,色情-sex word
沒有按摩 我不如去100快剪,正常-normal
幫妳按摩看妳有空的時間啊,正常-normal
剛洗澡完呀,正常-normal
我見過那麼多個都是只想愛愛的,正常-normal
你也都遇到想愛愛喔？,色情-sex word
"晨ㄅ也消失了
偶爾會有 但是我會很不舒服

大部分跨女對那個器官是會厭惡的",色情-sex word
那有砲友嗎哈哈啊哈,色情-sex word
約砲就看人啦 我是沒辦法,正常-normal
"人生，貴人真的很重要


珍惜每一個在我們生命中出現的任何一個人",正常-normal
那時候就開始討厭仙草了嗎？還是被逼完才討厭,正常-normal
至少不是上來找約砲的,正常-normal
新竹放鬆？去給人家按摩？,正常-normal
"很多人找一夜情嗎
怎會這樣問",正常-normal
J個 高清無碼的比較清楚,色情-sex word
為什麼要看男生洗澡的那個,正常-normal
醫生想看你的逼,色情-sex word
新營太子宮比較熟,正常-normal
這就跟人帥真好，人醜性騷擾差不多的概念,正常-normal
沒有小老公有正宮就對了！,正常-normal
我都11.多才洗澡，這樣熱水到明天早上都還會有我就可以再洗一次澡然後不用加熱兩次,正常-normal
這樣會裸露嗎�,色情-sex word
不用客氣�你是不是該去洗澡了,正常-normal
這個胸部不錯,色情-sex word
按摩是斜槓,色情-sex word
算約砲那種,色情-sex word
我以前可是常常隔天洗澡,正常-normal
沒有要約砲啦,正常-normal
有些公司有盲人按摩,正常-normal
竟然還沒洗澡,正常-normal
還沒洗澡哈哈哈,正常-normal
但等等洗澡就要睡了,正常-normal
怎麼會沒器官,正常-normal
我是不約砲,正常-normal
不是啊 我是來約的,色情-sex word
還是你覺得我配不上你？,正常-normal
我騎車因為今天睡過頭 哈哈哈,正常-normal
好色ㄛ好喜歡,色情-sex word
喔但我約的話會戴套欸,色情-sex word
"我這個人這麼幽默這麼搞笑
（�哪裡來的自信…）
加上妳的心裡面也有我
又給妳這麼好的印象",正常-normal
你很少按摩嗎,正常-normal
我有需要按摩棒這種東西嗎,色情-sex word
我還曾經搭末班捷運睡過頭到終點站被乘務員叫起來過…,正常-normal
腳底按摩是必備的�,正常-normal
妳洗澡沒,正常-normal
那你爸媽很認真欸把你調教成這樣,正常-normal
那個是朋友 不是前砲友�,正常-normal
年輕的肉體不錯 但我比較喜歡你,色情-sex word
之前有一個男生喜歡我逼我跟他掛睡,正常-normal
會介意對方比較好色？,色情-sex word
色情電話,色情-sex word
現在要回家洗澡了,正常-normal
你洗澡完啦,正常-normal
我下班一定都會先洗澡 不然就感覺怪怪的,正常-normal
沒有人會逼你的 �,正常-normal
可惜我洗澡了,正常-normal
誰要先洗澡,正常-normal
想要有人幫我按摩,正常-normal
"第一個是莫名其妙分手然後過了幾年後他跟我說分手的原因
是因為他有被他爸性侵
然後對於性就有點陌生恐懼等等的
也不知道怎麼跟我說
就決定結束

第二個是被家裡鄰居猥褻過用手
然後就很排斥性這塊
然後我跟他在一起後我決定跟他慢慢來
然後我們討論的也是
如果可以接受才慢慢進一步
一開始他還是會表明到哪部分的時候有點沒辦法忍受
我就停了
沒有再下去
然後過了一陣子我發現他其實沒有抗拒
也是可以增加一切觸碰等等的
然後就這樣慢慢一陣子
反正我就覺得慢慢來吧暫時不做也沒差
也完全沒有露出不想或是反感的表情
但他有一天哭了
說他真的受不了
他之前完全在忍耐
他很想滿足我的一切
所以一直忍耐
但他真的受不了了
然後他想分開一段時間
我就有點覺得
所以我一直以為沒什麼的事情
卻是一直在傷害他
而且是他不想做的事情

第三個就是性冷感那個",正常-normal
妹子好有空就聊,正常-normal
我大多聽音樂跟朋友聚會吃飯喝茶，其餘就是按摩保養,正常-normal
我蠻喜歡做愛的,色情-sex word
胸部可以擊暈人的…,色情-sex word
處男,色情-sex word
但之前單身的時候是有玩過多人 但都是有戴套的,色情-sex word
哈哈哈哈因為我是來約的啊,色情-sex word
按摩是指壓還是油壓,正常-normal
洗澡�,正常-normal
因為他對妳色色�� 應該是有吸引他的地方�️�️,色情-sex word
有個包養的,色情-sex word
那你想給我幹嗎,色情-sex word
所以我差不多要去洗澡睡覺了�,正常-normal
不過這次到胸部附近就行了,色情-sex word
要戴套嗎,色情-sex word
身體按摩師是什麼�,正常-normal
過夜⋯我怕變成一夜情。,色情-sex word
所以做之前會先一起洗澡啊,色情-sex word
好啦你趕快去洗澡,正常-normal
哪來的砲友,正常-normal
想幫妳按摩☺️,正常-normal
是想找固定的性伴侶,色情-sex word
我本來就沒有想約砲的�,正常-normal
那叫她一起幫媽媽按摩,正常-normal
妳洗澡了嗎？,正常-normal
只想要色色,色情-sex word
去洗澡囉,正常-normal
因為。日子不是每天做愛啊,正常-normal
你都不戴套嗎？,色情-sex word
蛋蛋最近如何,色情-sex word
色色的東西？哈哈,色情-sex word
不要亂色色,正常-normal
好啊我願意給妳性騷擾�,色情-sex word
雞巴豪笑死 有機會讓我看看雞巴豪是多雞巴�,正常-normal
她生活作息正常，常常房事上做到睡著,色情-sex word
這是屁眼共鳴,色情-sex word
可以來一杯熱手沖的時間,正常-normal
哈哈哈操我會成功,色情-sex word
脫光光你有差嗎�,色情-sex word
還有男生會跟他們買色情影片,色情-sex word
就喜歡色色❤️,色情-sex word
沒事啦我就也在講幹話,正常-normal
就是你要約炮而已吧哈哈,色情-sex word
怎麼被你講的我在找砲友似的,色情-sex word
你在逼我嗎,正常-normal
而且沒有親眼看到他的蛋蛋,色情-sex word
是喔 那他們有聊色？,色情-sex word
我們是在講幹話啊,正常-normal
你有胸我有肚,正常-normal
約砲不是要給錢嗎？,色情-sex word
處男你,色情-sex word
剛剛去按摩�,正常-normal
講一講很想打砲,色情-sex word
我要去按摩,正常-normal
絕對不是發洗澡卡,正常-normal
改天聊 剛剛洗澡去了,正常-normal
愛愛完要玩玩具？,色情-sex word
胸部，吧,色情-sex word
牛逼啊,正常-normal
"隨便摸！！！
我以後都要當放飯那個~",色情-sex word
"��
因該是說
活潑亂動的�
都很奸詐
又會看主人的臉色",正常-normal
太情色,色情-sex word
想做頭髮做按摩就去啊,正常-normal
你的女神定義是大胸喔�,色情-sex word
我先來去洗澡,正常-normal
那跟老婆都怎麼做愛,色情-sex word
反正淋濕都要洗澡,正常-normal
洗澡就脫了啊,色情-sex word
那你喜歡做愛的哪個環節,色情-sex word
平常有按摩習慣？,正常-normal
但我是按摩師,正常-normal
就塞到咪咪帽帽,正常-normal
臉部呢～或者精油按摩�純的喔喔喔喔喔,正常-normal
你會穿這種色誘我嗎,色情-sex word
我沒特別固定找什麼！只是之前剛好遇到的都是砲友就是了,色情-sex word
想色色,色情-sex word
戴套這麼安全��,色情-sex word
剛剛去按摩,正常-normal
你幹話恢復了啊,正常-normal
我在韓國也是回房間第一件事情先洗澡,正常-normal
我洗澡完出門會噴香水,正常-normal
你可以逼我去讀書嗎,正常-normal
現在準備洗澡,正常-normal
準備洗澡了,正常-normal
再幫你按摩,正常-normal
我本來也蠻醉到直接酒醒去洗澡搭車回家睡�,正常-normal
洗澡@@,正常-normal
但我也會在一中出沒啦,正常-normal
好可愛愛愛,正常-normal
對呀結紮是把蛋蛋拿掉,色情-sex word
那倪快去洗澡吃飯,正常-normal
連假快結束了 很需要去放鬆按摩一下了,正常-normal
跟老婆愛愛不會嗎,色情-sex word
你同事應該都會運動按摩吧那你應該不需要,正常-normal
當然自己看片自己來。會讓自己放鬆,色情-sex word
那很專業 然後很逼人呢,正常-normal
喔我其實想問的是 你第一次打砲是幾歲,色情-sex word
牛逼了姐姐,正常-normal
睡過頭了,正常-normal
性騷擾的確比較主觀,正常-normal
那我也先去洗澡,正常-normal
好奇 一夜情到固定,色情-sex word
跟女生胸部一樣啊,色情-sex word
就算要做愛也是要有感情才能吧,正常-normal
你平常會自慰嗎,色情-sex word
為什麼會想要一夜情,色情-sex word
愛愛的時間再給你看,色情-sex word
還會按摩,正常-normal
那晚上你比較想約到哪一帶呢？,色情-sex word
好口愛ㄛ,正常-normal
我等一下脫光光給你看,色情-sex word
反正沒要做愛 （？,正常-normal
萬一我纏上你就麻煩了,正常-normal
下班沒~幹話哥,正常-normal
淫狗就是要好好舔,色情-sex word
等等會睡過頭,正常-normal
對啊 我先洗澡了 在外面我都會說不會煮,正常-normal
哈哈哈哈這算性騷擾嗎��,色情-sex word
剛洗澡完 哈,正常-normal
這裡好多形形色色的人,正常-normal
沒有啦怎麼有在幫人家刮蛋的啦 是有嘛還是沒有！！蛋應該要幫我按摩�,色情-sex word
我們都會有性生活啊,色情-sex word
起床按摩了,正常-normal
做愛哈哈,色情-sex word
約妳做愛可以嗎,色情-sex word
上次妳說要給我看你們怎麼說幹話 沒給我看QQ,正常-normal
被性騷擾哪裡好笑�,正常-normal
我的精子可能沒什麼力 別指望我了,色情-sex word
不會啦，講電話我不太會色色,正常-normal
那是因為我的調教讓你有進步,色情-sex word
基本上都在玩肉體,色情-sex word
男生有胸肌還是不錯的,正常-normal
（女生洗澡都很久超級好笑,正常-normal
就是在45度的室內把汗逼出來,正常-normal
運動按摩還不錯,正常-normal
動不動就想色色,色情-sex word
會被客戶逼很緊嗎？,正常-normal
週末晚上你都在上班嗎,正常-normal
有洗澡嗎,正常-normal
可能有裸照,色情-sex word
啊是自摸嗎,色情-sex word
剛洗澡完哈哈哈哈,正常-normal
因為我對喜歡的人蠻好色,色情-sex word
是想要跟你愛愛了,色情-sex word
妳一覺睡起來 不覺得 很沒精神 又想睡嗎。洗澡之後 就比較有精神了,正常-normal
最後一張最後有自摸ㄇ,色情-sex word
我也是有遇過沒感覺的懶覺好嗎,色情-sex word
還是減少內射的次數，我也滿怕受孕的��,色情-sex word
請問我沒事裸體化妝幹嘛啦,色情-sex word
所以你可以接受固定的性伴侶囉,正常-normal
你平常有在運動或按摩嗎,正常-normal
哈哈哈 認真色色跟假裝色色,色情-sex word
"我跑去好朋友家煎
還有貓貓陪睡（？",正常-normal
也是 如果一開始就只為了打炮的,色情-sex word
做愛ㄚ,色情-sex word
做愛不能喔,正常-normal
哈哈哈所以還真的有人去跟你抱睡過嗎,色情-sex word
明天休息再找你幹話,正常-normal
所以我才不交炮友,正常-normal
現實逼迫我們長大,正常-normal
需要先讓你去洗澡什麼的嗎�,正常-normal
啊是交往還是炮友還是什麼,色情-sex word
被舔奶吸奶 用力操瘋狂幹 每一下都能頂到G點 越色我越愛,色情-sex word
操你不要跟我講,色情-sex word
在餵奶了呀,正常-normal
喔對 跟長輩聊天都還是會放不開 應該說會維持禮貌吧 除非長輩跟妳講幹話或屁話 但真的很少�,正常-normal
然後他說我一定在跟砲友打砲,色情-sex word
所以意思是 你有約砲？,色情-sex word
對啊我是按摩師,正常-normal
我去洗澡睡覺了�,正常-normal
哈哈 睡過站,正常-normal
台股真的太容易被操控ㄌ,正常-normal
瘋狂約炮,色情-sex word
你的炮友,色情-sex word
趕快洗澡睡覺了,正常-normal
都是說什麼性事很合啊,色情-sex word
還沒洗澡 感覺都要發酵長香菇了,正常-normal
剛好搭上你的時間,正常-normal
我是睡過頭的那個,正常-normal
床前脫光光�,色情-sex word
"哇喔
那對方一定會是知性女孩兒",正常-normal
����奪逼人,正常-normal
然後一直逼問,正常-normal
宴會區被操掛欸,色情-sex word
我先去洗澡好了,正常-normal
幫我含到射,色情-sex word
按摩就按摩為什麼要嘿嘿嘿,正常-normal
會不會想要一起洗澡,色情-sex word
他的專有名詞就是淫紋所以才說淫紋的,色情-sex word
按摩店小姐,正常-normal
願意聽我說幹話,正常-normal
不然只是在約砲而已,色情-sex word
有胸部的那種,色情-sex word
就…讀點書 讓自己說話有點東西 有點像是在裝逼嗎 哈啊哈哈,正常-normal
被我逼的啦,正常-normal
你不要逼我哪天去象山賭你喔,色情-sex word
有要他戴套吧��,色情-sex word
聽起來很牛逼,正常-normal
我們這次很讚耶！有冷氣又可以洗澡,正常-normal
#洗澡時哼的歌限定,正常-normal
如果再加上你的伴也是這樣,正常-normal
只是固定的床伴是嗎,色情-sex word
抗壓性需要很高,正常-normal
那妳呢 等等洗澡然後就睡覺嗎，還是今天要晚睡哈哈,正常-normal
腋下跟私密處都是,色情-sex word
因為感覺妳胸部很大,色情-sex word
洗澡要一段時間吧,正常-normal
願意幫我按摩,色情-sex word
挑逗乳頭�,色情-sex word
加油 我很期待你的美腿優～,色情-sex word
